scientific_name,english_name,accession_number_for_main_haplotype,lineage,assessment_id,year_published,latest,category,criteria,pop_trend,locations,region,code,iucn_name,iucn_synonyms,gbif_synonyms,extended_lineage,biosample_accession,geo_location,latlon,biosample_provider,biosample_collectedby,biosample_comment,biosample_title,assembly_comments,lat,lon,vague_location_flag,missing_sampling_location_flag,raster_path_ea,raster_path_goode,centroid_lon,centroid_lat,outside_range_flag,missing_range_flag,zoo_flag,domesticated_flag
Dromiciops gliroides,monito del montes,GCA_019393635.1,Mammals,281700389,2025,TRUE,NT,A2c,Decreasing,"Argentina, Chile",Global,1,Dromiciops gliroides,"Dromiciops australis, Dromiciops mondaca",Dromiciops gliroides; Dromiciops australis; Didelphys australis,Mammals,SAMN18857598,"Chile: San Martin, comuna de Valdivia, Region de los Rios",39.647794 S 73.196942 W,Universidad Austral de Chile,"Roberto Nespolo, Julian Quintero","The monito del monte (Dromiciops gliroides) is a small nocturnal marsupial in southwestern Argentina and Chile, South America. It is the only extant species in the ancient order Microbiotheria, and the sole New World representative of the superorder Australidelphia (source Wikipedia). This sample was collected from an adult female by Roberto Nespolo and Julian Quintero in Chile, to generate a high-quality reference genome assembly for the Vertebrate Genomes Project (VGP). Sequencing and genome assembly were conducted at the Max Planck Institute in Dresden , led by Gene Meyers, and coordinated with Olivier Fedrigo and Erich D. Jarvis.",NA,NA,-39.647794,-73.196942,FALSE,FALSE,results/species/Dromiciops_gliroides/range_raster.tif,results/species/Dromiciops_gliroides/range_raster_goode.tif,-72.4357031150555,-39.5132740133981,FALSE,FALSE,FALSE,FALSE
Dryobates pubescens,downy woodpecker,GCA_014839835.1,Birds,141048303,2025,TRUE,LC,NA,Stable,"United States, Saint Pierre and Miquelon, Canada, Mexico",Global,1,Dryobates pubescens,Picoides pubescens,Dryobates pubescens; Picus pubescens; Picoides pubescens; Dendrocopos pubescens,Birds,SAMN12629497,USA: North Carolina,36.13054 N 80.2563 W,Wake Forest University,"Matt Fuxjager, Eric Schuppe",NA,NA,This assembly represents the principal haplotype of the diploid genome Picoides pubescens and includes the chromosomes. The alternate haplotype sequences are in WGS project JACNMW000000000,36.13054,-80.2563,FALSE,FALSE,results/species/Dryobates_pubescens/range_raster.tif,results/species/Dryobates_pubescens/range_raster_goode.tif,-102.793083375365,45.7508147464276,FALSE,FALSE,FALSE,FALSE
Dugong dugon,dugong,GCA_030035585.1,Mammals,160756767,2019,TRUE,VU,A2bcd+4bcd,Decreasing,"Taiwan, Province of China, Nansei-shoto, Japan, Socotra, Yemen, United Arab Emirates, Saudi Arabia, Sri Lanka, Singapore, Philippines, Myanmar, Maldives, Malaysia, Indonesia, Nicobar Is., Laccadive Is., China, Andaman Is., India, Egypt, Australia, Cocos (Keeling) Islands, New Caledonia, Palau, Papua New Guinea, Bismarck Archipelago, Solomon Islands, Vanuatu, Bangladesh, Brunei Darussalam, Cambodia, Thailand, Timor-Leste, Viet Nam, Comoros, Djibouti, Eritrea, Kenya, Madagascar, Mauritius, Rodrigues, Mayotte, Mozambique, Seychelles, Somalia, Sudan, Tanzania, United Republic of, Bahrain, Iran, Islamic Republic of, Iraq, Israel, Jordan, Kuwait, Oman, Qatar",Global,1,Dugong dugon,Trichecus dugon,Halicore dugong; Dugong dugon; Halicore dugung; Dugong dugon hemprichii; Dugong dugong; Dugong dugon tabernaculi; Halicore australe; Dugong dugon dugon; Trichechus dugong; Trichecus dugon; Halicore halicore; Halicore tabernaculi; Halicore australis; Halicore cetacea; Halicore hemprichii; Halicore lottum; Trichechus dugon; Trichechus dugung,Mammals,SAMN33212336,"Australia: Moreton Bay, Queensland",27.15148032 S 153.0415985 E,"University of Queensland, Australia",Janet Lanyon,"The dugong (Dugong dugon) is one of four living marine mammal species of the order Sirenia; the other three are manatee species. Its closest modern relative is the Steller's sea cow (Hydrodamalis gigas), which was hunted to extinction in the 18th century. The dugong spans the waters of some 40 countries and territories throughout the Indo-West Pacific (from Wikipedia entry). This sample is from a female inhabiting Moreton Bay, Queensland, Australia. The sample was collected by Janet M. Lanyon at the University of Queensland; Pacbio sequence data was generated at the Australian Genome Research Facility in the University of Queensland; Hi-C generated at the Ramaciotti Center for Genomics in the University University of New South Whales; the genome assembled at the Vertebrate Genome Lab at the Rockefeller University; and the curated at the curation team at the Sanger Institute. The genome was generated in part for and contributed to the Vertebrate Genomes Project (VGP). The project was coordinate by Beth Shapiro, Carolyn J. Hogg, Olivier Fedrigo, and Erich D. Jarvis. Other contributions were from Katherine Belov, Katherine A. Farquharson, Diana Le Duc, Torsten Schoneberg, D. Neve Baker, and Merly Escalona. We also acknowledge the traditional custodians of the land and water, the Quandamooka people, who care for the yangang (dugong) and the country. We pay our respects to their elders past and present.",NA,NA,-27.15148032,153.0415985,FALSE,FALSE,results/species/Dugong_dugon/range_raster.tif,results/species/Dugong_dugon/range_raster_goode.tif,108.161765783772,-0.0394843404750819,FALSE,FALSE,FALSE,FALSE
Echeneis naucrates,live sharksucker,GCA_900963305.2,Fishes,115317934,2015,TRUE,LC,NA,Stable,"Colombia, Brunei Darussalam, New Caledonia, New Zealand, Cambodia, French Guiana, Ecuador, Nauru, Bangladesh, Trinidad and Tobago, Djibouti, Sint Maarten (Dutch part), Cyprus, Mayotte, Equatorial Guinea, Clipperton I., Niue, Virgin Islands, British, British Indian Ocean Territory, Turks and Caicos Islands, Brazil, Ecuador (mainland), Saint Martin (French part), Israel, Fiji, Galápagos, Saint Vincent and the Grenadines, Jordan, French Polynesia, Saint Kitts and Nevis, Marshall Islands, Wallis and Futuna, Micronesia, Federated States of , Kiribati, Saint Lucia, Puerto Rico, France, Mozambique, Malaysia, Paracel Is., Maldives, Mauritania, Spratly Is., Madagascar, Philippines, Singapore, Liberia, Réunion, India, China, Nigeria, Namibia, Indonesia, Disputed Territory, Gambia, Phoenix Is., Gabon, Eritrea, Sierra Leone, Venezuela, Bolivarian Republic of, Chile, Guyana, Kenya, Morocco, Guinea-Bissau, Virgin Islands, U.S., Ghana, Myanmar, Peru, Curaçao, Bahamas, Nicobar Is., Korea, Republic of, Syrian Arab Republic, Vanuatu, Montserrat, United States Minor Outlying Islands, Australia, Easter Is., American Samoa, Tonga, Cocos (Keeling) Islands, Japan, Christmas Island, Comoros, Tuvalu, Cook Islands, Tokelau, Samoa, Dominican Republic, Dominica, Türkiye, Solomon Islands, US Line Is., Papua New Guinea, Johnston I., Mauritius, Mozambique Channel Is., Saudi Arabia, Spain, Norfolk Island, Martinique, Andaman Is., Jamaica, Northern Mariana Islands, Qatar, Howland-Baker Is., Pakistan, French Southern Territories, Haiti, Palau, Kuwait, United Arab Emirates, Pitcairn, Grenada, Wake Is., Guadeloupe, Lebanon, Yemen, Taiwan, Province of China, Sudan, Timor-Leste, Saint Barthélemy, Angola, Senegal, Anguilla, Canary Is., Sao Tome and Principe, Barbados, Mexico, Benin, Aruba, Guinea, Cameroon, Saint Helena, Ascension and Tristan da Cunha, Bermuda, South Africa, Madeira, Bonaire, Sint Eustatius and Saba, Sri Lanka, Antigua and Barbuda, Nicaragua, Thailand, Somalia, Portugal, Viet Nam, Seychelles, Panama, Egypt, Bahrain, Honduras, Togo, Guatemala, Western Sahara, El Salvador, Tanzania, United Republic of, Cayman Islands, Oman, Costa Rica, Cuba, Cabo Verde, Iraq, United States, Congo, The Democratic Republic of the, Belize, Iran, Islamic Republic of, Côte d'Ivoire",Global,1,Echeneis naucrates,"Leptecheneis naucrates, Echeneis chiromacer, Echeneis fasciata, Echeneis fusca, Echeneis metallica, Echeneis vittata, Leptecheneis flaviventris, Echeneis lunata, Echeneis naucratus, Echeneis guaican, Echneis naucrates, Echeneis neucrates, Echeneis scaphecrates",Echeneis naucrates; Echeneis neucratoides,Ray-finned fishes,SAMEA4966390,NA,NA,NA,NA,NA,NA,"The assembly fEcheNa1.2 is based on
62x PacBio data,
100x coverage 10X Genomics Chromium data, BioNano data and
112x coverage Dovetail Hi-C data generated at the Wellcome Sanger Institute. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig identification with Purge Haplotigs, 10X based scaffolding with scaff10x, BioNano hybrid-scaffolding, Hi-C based scaffolding with SALSA2, Arrow polishing, and two rounds of FreeBayes polishing. The mitochondrial assembly was produced at The Rockefeller University using mitoVGP. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds are named by synteny to medaka.",NA,NA,FALSE,TRUE,results/species/Echeneis_naucrates/range_raster.tif,results/species/Echeneis_naucrates/range_raster_goode.tif,43.5491910854028,2.66600458896847,TRUE,FALSE,FALSE,FALSE
Echiichthys vipera,lesser weever,GCA_963691815.1,Fishes,45884258,2015,TRUE,LC,NA,Unknown,"United Kingdom, Türkiye, Tunisia, Syrian Arab Republic, Spain, Slovenia, Portugal, Norway, Guernsey, Greece, Gibraltar, Germany, France, Egypt, Denmark, Cyprus, Croatia, Canary Is., Belgium, Algeria, Albania, Ireland, Israel, Italy, Jersey, Lebanon, Libya, Madeira, Malta, Monaco, Montenegro, Morocco, Netherlands, Sicilia, Sardegna, Italy (mainland), Corsica, France (mainland), East Aegean Is., Greece (mainland), Kriti, Portugal (mainland), Baleares, Spain (mainland), Spanish North African Territories, Great Britain, Northern Ireland, Egypt (African part), Sinai",Europe,2,Echiichthys vipera,"Trachinus horridus, Trachinus vipera",Echiichthys vipera; Trachinus horridus; Trachinus vipera; Echeiichthys vipera,Ray-finned fishes,SAMEA112765695,Whitsand Bay|Trawl 3,50.32767353 -4.23848816,NA,FRANCES PERRY| RACHEL BRITTAIN|MITCHELL BRENEN| SEAN MCTIERNEY|KES SCOTT-SOMME,NA,NA,"The assembly fEchVip8.1 is based on 34x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Two half coverage putative sex chromosomes chromosomes were observed and provisionally named X and Y. However, the sample used for genome assembly was of unknown sex and so the sex determination system could be ZW instead of XY. A literature search did not recover information on the sex determination system for this species. It should also be noted that a previous cytological study (https://doi.org/10.1159/000076302) did not identify heteromorphic sex chromosomes in this species.",50.32767353,-4.23848816,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
Electrona antarctica,Antarctic lanternfish,GCA_951216825.1,Fishes,130414300,2019,TRUE,LC,NA,Unknown,"Heard Island and McDonald Islands, French Southern Territories, New Zealand, Macquarie Is., Bouvet Island, Antarctica, South Georgia and the South Sandwich Islands, Argentina, Chile, Falkland Islands (Malvinas), Tristan da Cunha, Marion-Prince Edward Is., South Africa, Saint Helena, Ascension and Tristan da Cunha, Australia",Global,1,Electrona antarctica,Scopelus antarcticus,Scopelus antarcticus; Scopelus colletti; Electrona antarctica; Myctophum antarcticum,Ray-finned fishes,SAMEA8748807,Southern Ocean,-53.36448 -38.0583,NA,ILIANA BISTA,NA,NA,"The assembly fEleAnt2.1 is based on 43x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",-53.36448,-38.0583,FALSE,FALSE,results/species/Electrona_antarctica/range_raster.tif,results/species/Electrona_antarctica/range_raster_goode.tif,-16.936715959438,-54.9422905569421,FALSE,FALSE,FALSE,FALSE
Electrophorus electricus,electric eel,GCA_041902795.1,Fishes,53826515,2023,TRUE,LC,NA,Stable,"Suriname, French Guiana, Guyana",Global,1,Electrophorus electricus,"Gymnotus regius, Gymnotus tremulus, Electrophorus multivalvulus, Gymnotus electricus",Electrophorus electricus; Gymnotus electricus; Gymnotus regius; Electrophorus multivalvulus; Gymnotus tremulus,Ray-finned fishes,SAMN42883346,China,NA,NA,NA,NA,NA,NA,35.000074,104.999927,TRUE,FALSE,results/species/Electrophorus_electricus/range_raster.tif,results/species/Electrophorus_electricus/range_raster_goode.tif,-56.2988166171485,4.25917675755361,TRUE,FALSE,FALSE,FALSE
Elephas maximus indicus,Asian elephant,GCA_024166365.1,Mammals,45818198,2020,TRUE,EN,A2c,Decreasing,"Sri Lanka, Thailand, Cambodia, Myanmar, Sabah, China, Pakistan, Viet Nam, Kalimantan, Peninsular Malaysia, Bhutan, Bangladesh, India, Sumatera, Malaysia, Lao People's Democratic Republic, Indonesia, Nepal",Global,1,Elephas maximus, ,Elephas indicus; Elephas maximus indicus,Mammals,SAMN29174328,USA: San Diego Zoo,32.7353 N 117.1490 W,"Frozen Zoo, San Diego Zoo",San Diego Zoo,"The Indian elephant is one of the three subspecies of the Asian Elephant. It has been classified as Endangered on the IUCN realist since 1986 due to habitat loss and environmental degradation mainly caused by human activities. This assembly has been produced as part of the G10K-VGP Project, and supported by Virpi Lummaa (Professor, Ecology and Evolutionary Biology, university of Turku, Finland), Camila Mazzoni (group leader at the Leibniz Institute for Zoo and Wildlife Research, Berlin, Germany), and by Colossal Biosciences. Work was done in collaboration with Sara Ord, Eriona Hysolli, and Larissa Souza Arantes. Skin tissue was collected from a 50 years old adult male at the San Diego zoo, California (SB-218, and GAN # 26734787; ZIMS/Species 360) and fibroblast cells were cultured by the Frozen Zoo. The sample was sequenced using the VGP 2.0 individual pipeline at the Rockefeller University Vertebrate Genome Lab, led by Olivier Fedrigo and Erich Jarvis. The primary haplotype contigs were generated from PacBio Hifi reads, scaffolded with Bionano optical maps, and Arima HiC reads. Genome was assembled by Diego De Panis. Manual curation of chromosomes and other genomic features was conducted by Nadolina Brajuka and led by Giulio Formenti. The raw data and assembly are currently under a G10K-VGP publication embargo until removed from this description, following the G10K data use policy at the following URL: https://genome10k.soe.ucsc.edu/about/data_use_policy",NA,NA,32.7353,-117.149,FALSE,FALSE,results/species/Elephas_maximus/range_raster.tif,results/species/Elephas_maximus/range_raster_goode.tif,94.4186439092046,17.679098487526,TRUE,FALSE,TRUE,FALSE
Eleutherodactylus coqui,coqui,GCA_035609145.1,Amphibians,3041672,2021,TRUE,LC,NA,Increasing,"Hawaiian Is., Virgin Islands, U.S., Florida, United States, Dominican Republic, Costa Rica, Louisiana, California, Puerto Rico",Global,1,Eleutherodactylus coqui, ,Eleutherodactylus coqui,Amphibians,SAMN39150572,USA: Hawaii,19.580062 N 154.923937 W,"Harvard University: Museum of Comparative Zoology, Matthew Gage",Mara Laslo,"The coqui (Eleutherodactylus coqui) is a frog species native to Puerto Rico. The species is named for the loud call the males make at night. The ""CO"" sounds serves to repel other males and establish territory while the ""KEE"" sound serves to attract females. It was accidentally introduced to Hawaii in the 1980s, and became an invasive species (description modified from Wikipedia entry). This sample is from a male collected in Hawaii by Mara Laslo and coordinated with Matthew Gage of the Harvard Museum of Comparative Zoology, to be used to generate a high-quality reference genome for the Vertebrate Genomes Project (VGP). Sequencing and genome assembly were conducted at the Vertebrate Genomes Lab (VGL) at the Rockefeller University, led by Olivier Fedrigo and Erich D. Jarvis.",NA,NA,19.580062,-154.923937,FALSE,FALSE,results/species/Eleutherodactylus_coqui/range_raster.tif,results/species/Eleutherodactylus_coqui/range_raster_goode.tif,-78.4365118921557,19.5539030012613,FALSE,FALSE,FALSE,FALSE
Elgaria multicarinata webbii,Southern alligator lizard,GCA_023053635.2,Reptiles,12707115,2007,TRUE,LC,NA,Decreasing,"Mexico, United States",Global,1,Elgaria multicarinata, ,Gerrhonotus multicarinatus webbii; Elgaria multicarinata webbii,Lepidosauria,SAMN25872353,"USA: Chapel of the Valley Mortuary, CA",34.572830 N 118.097942 W,"H. Bradley Shaffer Lab, UCLA",Robert E. Espinosa,NA,NA,NA,34.57283,-118.097942,FALSE,FALSE,results/species/Elgaria_multicarinata/range_raster.tif,results/species/Elgaria_multicarinata/range_raster_goode.tif,-120.62456695195,38.5498267470277,FALSE,FALSE,FALSE,FALSE
Emys orbicularis,European pond turtle,GCA_028017835.1,Reptiles,207667247,2024,TRUE,NT,A2bcde,Decreasing,"Belgium, Albania, Poland, Serbia, Austria, North Macedonia, Bosnia and Herzegovina, Bulgaria, Hungary, Latvia, Croatia, Czechia, Slovenia, Ukraine, Russian Federation, Montenegro, Denmark, Romania, France, Greece, Italy, Slovakia, Switzerland, Spain, Moldova, Germany, Türkiye, Portugal, Lithuania, Netherlands, Gibraltar, France (mainland), Greece (mainland), Italy (mainland), Spain (mainland), European Russia, Türkiye-in-Europe, Corsica, Sardegna, United Kingdom, Portugal (mainland), Great Britain, Kaliningrad, South European Russia, Central European Russia, Kosovo, Krym, Ukraine (main part), Serbia, Baleares, Belarus, East Aegean Is.",Europe,2,Emys orbicularis,"Emys orbicularis, Testudo europaea, Testudo orbicularis",Emys tigris; Cistudo hellenica; Emys orbicularis lanzai; Emys hofmanni; Emys orbicularis hoffmani; Cistuda hellenica; Emys europaea concolor; Emys europaea maculosa; Testudo terrestris; Emys lutaria borealis; Emys turfa; Emys antiquorum; Emys orbicularis luteofusca; Emys europaea sparsa; Testudo rotunda; Cistudo anhaltina; Testudo europaea; Emys orbicularis kurae; Emys orbicularis colchica; Testudo pulchella; Emys orbicularis iberica; Emys orbicularis aralensis; Emys lutaria taurica; Emys orbicularis orientalis; Testudo lutraria; Emys orbicularis atra; Emys europaea punctata; Emys iberica; Emys orbicularis capolongoi; Emys orbicularis hispanica; Emys europaea; Testudo lutaria; Testudo punctata; Emys orbicularis fritzjuergenobsti; Testudo orbicularis; Emys orbicularis,Turtles,SAMN31805221,Italy: Reserve Naturale Monte Rufeno,42.78473 N 11.88612 E,University of Florence,Claudio Ciofi,"The European pond turtle (Emys orbicularis) is a long-living freshwater turtle in the family Emydidae, and is endemic to the Western Palearctic, namely southern and central Europe, West Asia and North Africa (from Wikipedia entry). This sample is from a female at a Nature Reserve in Italy, collected by Claudio Ciofi, to generate a high-quality reference for the Vertebrate Genomes Project (VGP). Sequencing and genome assembly were conducted at the University of Florence in Italy led by Ciofi and the Vertebrate Genomes Lab (VGL) at the Rockefeller University, led by Olivier Fedrigo and Erich D. Jarvis, with support from Ciofi and Jarvis.",NA,NA,42.78473,11.88612,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
Engystomops pustulosus,tungara frog,GCA_040894005.1,Amphibians,53969023,2020,TRUE,LC,NA,Stable,"Nicaragua, Guyana, Belize, Venezuela, Bolivarian Republic of, Guatemala, Colombia, Mexico, Costa Rica, Trinidad and Tobago, El Salvador, Honduras, Panama, Veracruz, Querétaro, Honduras (mainland), Costa Rica (mainland), Nicaragua (mainland), Campeche",Global,1,Engystomops pustulosus,"Physalaemus pustulosus, Bufo   stentor, Microphryne  pustulosa, Peralaimos  stentor, Engystomops  stentor, Eupemphix  stentor, Eupemphix  pustulosa, Eupemphix  trinitatis , Bufo  atrigularis , Eupemphix  ruthveni , Paludicola pustulosa",Engystomops pustulosus; Paludicola pustulosa; Bufo atrigularis; Eupemphix pustulosus ruthveni; Eupemphix ruthveni; Physalaemus pustulosus ruthveni; Bufo stentor; Eupemphix pustulosus trinitatis; Eupemphix trinitatis; Eupemphix pustulosa trinitatis; Engystomops stentor; Physalaemus stentor; Peralaimos stentor; Eupemphix stentor; Microphryne pustulosa; Physalaemus pustulosus; Bufo pustulosus; Eupemphix pustulosa,Amphibians,SAMN42463661,"USA: Stockton, California",37.9795 N 121.313 W,University of the Pacific: Marcos Gridi-Papp,Marcos Gridi-Papp,"The Tungara frog (Engystomops pustulosus) is a species in the Leptodactylidae family. It is a small nocturnal terrestrial frog found in Mexico, Central America, and the northeastern regions of South America. The tungara frog exhibits interesting behavior in male/female interactions. Male vocalizations are critical in female mate choice, and females often prefer males who give complex mating calls at a lower frequency rather than simple calls at a higher frequency (from Wikipedia entry). This sample of a female individual (aEngPut4/MGP-1488.2) is part of a trio assembly (mother aEngPut2/MGP-1444.1, father aEngPut3/MGP-1452.1), with Hi-C sequence data from the sister offspring aEngPut1/MGP-1488.1 used for scaffolding. The individuals were bred in captivity and procured by Marcos Gridi-Papp to generate a high-quality reference genome for the Vertebrate Genomes Project (VGP). Sequencing and genome assembly were conducted at the Vertebrate Genome Lab (VGL) at the Rockefeller University, led by Erich D. Jarvis, Giulio Formenti, and Jennifer Balacco.",NA,NA,37.9795,-121.313,FALSE,FALSE,results/species/Engystomops_pustulosus/range_raster.tif,results/species/Engystomops_pustulosus/range_raster_goode.tif,-74.454499599441,9.91645387605485,TRUE,FALSE,FALSE,FALSE
Enoplosus armatus,old wife,GCA_043641665.1,Fishes,143616622,2020,TRUE,LC,NA,Unknown,"South Australia, Queensland, New South Wales, Western Australia, Victoria, Tasmania, Australia",Global,1,Enoplosus armatus,Chaetodon armatus,Chaetodon armatus; Enoplosus armatus,Ray-finned fishes,SAMN40589647,"Australia: Western Australia, Middle Island",NA,NA,NA,NA,NA,NA,-34.1017317,123.1878033,FALSE,FALSE,results/species/Enoplosus_armatus/range_raster.tif,results/species/Enoplosus_armatus/range_raster_goode.tif,137.046924572383,-35.0267210845906,FALSE,FALSE,FALSE,FALSE
Epinephelus lanceolatus,giant grouper,GCA_041903045.1,Fishes,100465809,2018,TRUE,DD,NA,Decreasing,"Taiwan, Province of China, Japan, Hong Kong, Yemen, Saudi Arabia, Pakistan, Iran, Islamic Republic of, Tanzania, United Republic of, South Africa, Somalia, Seychelles, Réunion, Mozambique, Mayotte, Tonga, Tokelau, Solomon Islands, Samoa, Pitcairn, Papua New Guinea, Palau, Northern Mariana Islands, Niue, New Caledonia, Nauru, Micronesia, Federated States of , United States, Hawaiian Is., American Samoa, Australia, Cook Islands, Fiji, French Polynesia, Guam, Kiribati, Marshall Islands, Tuvalu, United States Minor Outlying Islands, Johnston I., Wake Is., Vanuatu, Wallis and Futuna, British Indian Ocean Territory, Cambodia, India, Indonesia, Malaysia, Maldives, Myanmar, Philippines, Singapore, Sri Lanka, Thailand, Viet Nam, Comoros, Djibouti, Eritrea, Kenya, Madagascar, Mauritius, New Zealand, Oman, Christmas Island, Cocos (Keeling) Islands, Chagos Archipelago, Brunei Darussalam, Disputed Territory, Paracel Is., China, French Southern Territories, Mozambique Channel Is., Macao, US Line Is., Howland-Baker Is., Timor-Leste, Sudan",Global,1,Epinephelus lanceolatus, ,Serranus phaeostigmaeus; Serranus geographicus; Oligorus terrae reginae; Oligorus goliath; Stereolepoides thompsoni; Serranus abdominalis; Batrachus gigas; Holocentrus lanceolatus; Promicrops lanceolatus; Serranus lanceolatus; Epinephelus lanceolatus,Ray-finned fishes,SAMN41784231,China,NA,NA,NA,NA,NA,NA,35.000074,104.999927,TRUE,FALSE,results/species/Epinephelus_lanceolatus/range_raster.tif,results/species/Epinephelus_lanceolatus/range_raster_goode.tif,76.7558291093442,-2.65125696786941,TRUE,FALSE,FALSE,FALSE
Epinephelus rankini,rankin cod,GCA_048129235.1,Fishes,241133146,2024,TRUE,LC,NA,Unknown,"Australia, Western Australia, Indonesia, Lesser Sunda Is., Timor-Leste, Maluku",Global,1,Epinephelus rankini, ,Epinephelus multinotatus; Epinephelus rankini; Epinephelus leprosus; Serranus multinotatus; Serranus jayakari; Epinephelus jayakari; Epinephilus multinotatus,Ray-finned fishes,SAMN41769322,"Australia: Western Australia, Muirion Islands",NA,NA,NA,NA,NA,NA,-21.66125,114.3462,FALSE,FALSE,results/species/Epinephelus_rankini/range_raster.tif,results/species/Epinephelus_rankini/range_raster_goode.tif,122.64162432981,-14.9588562979284,FALSE,FALSE,FALSE,FALSE
Eptesicus fuscus,big brown bat,GCA_027574615.1,Mammals,22118197,2016,TRUE,LC,NA,Increasing,"Cuba, Nicaragua, Dominica, Jamaica, Puerto Rico, Haiti, Colombia, United States, Guatemala, Comoros, Panama, Dominican Republic, Honduras, Costa Rica, Belize, Mexico, Canada, Venezuela, Bolivarian Republic of, Barbados",Global,1,Eptesicus fuscus,Vespertilio fuscus,Eptesicus fuscus,Mammals,SAMN30608903,"USA: Silver Falls Park - Crosbyton, TX",NA,NA,David Ray,NA,NA,NA,33.666074,33.666074,FALSE,FALSE,results/species/Eptesicus_fuscus/range_raster.tif,results/species/Eptesicus_fuscus/range_raster_goode.tif,-99.0475248125159,37.1070810412815,TRUE,FALSE,FALSE,FALSE
Eptesicus nilssonii,northern bat,GCA_951640355.1,Mammals,NA,NA,NA,NE,NA,NA,NA,NA,NA,Eptesicus nilssonii,NA,Eptesicus nilssonii nilssonii; Eptesicus atratus; Eptesicus nilssonii parvus; Eptesicus nilssoni; Eptesicus parvus; Vespertilio nilssonii; Eptesicus borealis; Eptesicus nilssoni error; Eptesicus nilssonii,Mammals,SAMEA14098186,AKERSHUS | NITTEDAL | RUDSTEIN | RUDSTEINVEIEN 67,60.020102 10.900629,NA,JEROEN VAN DER KOOIJ,NA,NA,"The assembly mEptNil1.1 is based on 33x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",60.020102,10.900629,FALSE,FALSE,results/species/Eptesicus_nilssonii/range_raster.tif,results/species/Eptesicus_nilssonii/range_raster_goode.tif,61.8343283496174,55.1894472493609,FALSE,FALSE,FALSE,FALSE
Equus caballus,Arabian horse,GCA_036426135.1,Mammals,97204950,2015,TRUE,EN,D,Increasing,"Mongolia, Kazakhstan, China, Ukraine, Russian Federation",Global,1,Equus ferus,Equus przewalskii,Hippidium neogaeum; Equus neogeus; Equus asinus hippagrus; Equus caballus; Equus neogaeus; Equus caballus fossilis; Equus rectidens; Equus hippagrus; Equus caballus germanicus; Equus caballus caballus; Equus caballus gallicus; Equus caballus piveteaui; Equus ferus caballus; Equus curvidens; Equus caballus domesticus; Hipphaplus bravardi,Mammals,SAMN39296386,Qatar: Al Shaqab Equestrian Center,25.30811074 N 51.44314587 E,Qatar Biodiversity Genomes Project: Farooq Omar Al-Ajli,"Tatiana Vinardell, Farooq Omar Al-Ajli","The domesticated horse (Equus caballus) is a one-toed, hoofed mammal, and one of the most iconic species distinguished by its unique history, diverse breeds, and significant role in human society. This sample (mEquCab1) is from a male Arabian horse bred at Al Shaqab Equestrian Center, in Qatar. Samples were also obtained from the parents (mother mEquCab3 and father mEquCab2). These samples were collected by Tatiana Vinardell, and coordinated and provided by Farooq Omar Al-Ajli (Katara Biodiversity Genomes Program), to create trio-based high-quality assemblies of the maternal and paternal haplotypes for the Vertebrate Genomes Project (VGP) and Qatar Biodiversity Genomes Project (QBGP). Sequencing was done at the Vertebrate Genomes Lab (VGL) at Rockefeller University, led by Olivier Fedrigo and Erich D. Jarvis. Genome assembly was conducted at Sidra Medicine by Farooq Omar Al-Ajli and Khalid A. Fakhro in collaboration with VGL.",NA,NA,25.30811074,51.44314587,FALSE,FALSE,results/species/Equus_ferus/range_raster.tif,results/species/Equus_ferus/range_raster_goode.tif,90.7284470232829,43.8331606088036,TRUE,FALSE,FALSE,FALSE
