"","scientific_name","iucn_name","assessment_id","category","criteria","pop_trend","locations","year_published","latest","gbif_synonyms","iucn_synonyms","lineage","extended_lineage","english_name","accession_number_for_main_haplotype","biosample_accession","geo_location","latlon","biosample_provider","biosample_collectedby","biosample_comment","assembly_comments","sampling_lat","sampling_lon","vague_location_flag","missing_sampling_location_flag","raster_path_ea","raster_path_goode","centroid_lon","centroid_lat","outside_range_flag","missing_range_flag","zoo_flag","domesticated_flag","priority","map_notes","use_coord"
"175","Anguilla anguilla","Anguilla anguilla",216177498,"CR","A2bd+4bd","Decreasing","Denmark, Belgium, Albania, Austria, Isle of Man, Italy, Luxembourg, Lithuania, Bosnia and Herzegovina, Ireland, Netherlands, Germany, Serbia, Bulgaria, Iceland, Malta, Poland, Latvia, Ukraine, Romania, Croatia, Czechia, Slovakia, Switzerland, France, Guernsey, Estonia, Slovenia, Spain, Russian Federation, Türkiye, United Kingdom, Moldova, Cyprus, Belarus, Faroe Islands, Jersey, Monaco, Gibraltar, North Macedonia, Sweden, Montenegro, Hungary, Portugal, Greece, Finland, Norway, France (mainland), Greece (mainland), Corsica, Sardegna, East Aegean Is., Baleares, Great Britain, Türkiye-in-Europe, Kriti, Selvagens, Madeira, Italy (mainland), Portugal (mainland), Northern Ireland, Canary Is., Serbia, Spain (mainland), Spanish North African Territories, Azores, Krym, South European Russia, Sicilia, Kosovo, North European Russia, Ukraine (main part), Kaliningrad, Northwest European Russia, European Russia",2023,TRUE,"Anguilla anguilla; Anguilla nilotica; Anguilla altirostris; Muraena oxyrhina; Anguilla vulgaris ornithorhincha; Muraena anguilla; Anguilla septembrina; Anguilla anguilla macrocephala; Anguilla linnei; Anguilla vulgaris platyura; Anguilla aegyptiaca; Anguilla fluviatilis; Anguilla capitone; Anguilla marginata; Anguilla brevirostris; Muraena anguilla acerine; Anguilla morena; Anguilla canariensis; Anguilla vulgaris; Anguilla anguillia; Anguilla cloacina; Anguilla bibroni; Anguilla platycephala; Anguilla melanochir; Anguilla vulgaris marina; Anguilla kieneri; Anguilla cuvieri; Anguilla platyrhynchus; Anguilla anguilla mucrocephala; Muraena anguilla guiseau; Anguilla callensis; Anguilla anguilla oxycephala; Anguilla mediorostris; Anguilla vulgaris fluviatilis; Anguilla acutirostris; Angill angill; Muraena platyrhina; Anguilla savignyi; Anguilla anguilla ornithorhyncha; Muraena anguilla anguillechien; Anguilla vulgaris lacustus; Anguilla hibernica; Anguilla orthoentera; Muraena anguilla marina; Anguilla vulgaris macrocephala; Anguilla ancidda; Leptocephalus brevirostris; Muraena anguilla maculata; Anguilla eurystoma; Anguilla anacamptoentera; Anguilla oblongirostris; Anguilla microptera; Anguilla migratoria; Anguilla anguillai; Anguilla latirostris; Anguilla spec; Anguilla marina","Muraena anguilla","Fishes","Ray-finned fishes","European eel","GCA_013347855.1","SAMN12623627","Czech Republic: Elbe River","50.2909 N 14.4971 E","University of Konstanz","Martin Reichard","The European eel (Anguilla anguilla) is a true eel, found around European coast, and are currently critically endangered, down to 2% of their historical population, due to water pollution. They can live up to be over 80 years old in captivity, the oldest recorded animal being 155 years. This sample was collected by Nidal Karagic, procured by Axel Meyer, sequencing supported by Gene Myers, in collaboration with Richard Durbin, to generate a high-quality reference genome as part of the G10K-VGP and Fish VGP projects.","This assembly represents the principal haplotype of the diploid genome Anguilla anguilla and includes the chromosomes. The alternate haplotype sequences are in WGS project JABVMH000000000",50.2909,14.4971,FALSE,FALSE,"results/species/Anguilla_anguilla/range_raster.tif","results/species/Anguilla_anguilla/range_raster_goode.tif",6.38638865801945,41.744078170096,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"176","Anniella stebbinsi","Anniella pulchra",167597877,"LC",NA,"Decreasing","United States, Mexico, Baja California, California",2021,TRUE,"Anniella pulchra","Anniella campi, Anniella grinnelli, Anniella stebbinsi, Anniella alexanderae","Reptiles","Lepidosauria","Southern California legless lizard","GCA_029215775.1","SAMN33386066","USA:San Felipe Valley, San Diego County, California","33.128 N 116.52 W",NA,"Brian Hinds",NA,"The mitochondrial sequence JARDYG010000134.1 was generated with MitoHiFi (V2.2) using the existing Dopasia sokolovi mitochondrial sequence (NC_071253.1) as a reference",33.128,-116.52,FALSE,FALSE,"results/species/Anniella_pulchra/range_raster.tif","results/species/Anniella_pulchra/range_raster_goode.tif",-118.722347946562,34.5911711568452,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"177","Anolis sagrei","Anolis sagrei",2484119,"LC",NA,"Stable","Costa Rica, United States, Mexico, Bahamas, Belize, Honduras, Cuba, Jamaica, Cayman Islands, Turks and Caicos Islands, Honduran Caribbean Is., Florida, Alabama, Louisiana, Georgia, Hawaiian Is., Texas, Taiwan, Province of China, Grenada",2020,TRUE,"Anolis sagrei; Norops sagrei; Dactyloa sagraei; Anolis greyi; Anolis stejnegeri; Dracontura catenata; Norops sagrai; Anolis sagrae; Anolis ordinatus","Norops sagrei","Reptiles","Lepidosauria","brown anole","GCA_037176765.1","SAMN40144551","USA: Palm Coast, Florida","29.582251 N 81.214912 W","Auburn University: Tonia Schwartz","Tonia Schwartz","The brown anole lizard (Anolis sagrei) is a species of lizard in the family Dactyloidae. The species is native to Cuba and the Bahamas. It has been widely introduced elsewhere, via the importation and exportation of plants where the anole would lay eggs in the soil of the pots, and is now found in Florida and as far north in the United States as southern Georgia, Texas, Louisiana, Tennessee, Mississippi, Alabama, Hawaii, and Southern California. It has also been introduced to other Caribbean islands, Mexico, and Taiwan. This sample of a male subadult individual found in Palm Coast, Florida was procured by Tonia Schwartz and coordinated by Anne Bronikowski to generate a high-quality reference genome for the Vertebrate Genomes Project (VGP). Sequencing and genome assembly were conducted at the Vertebrate Genome Lab (VGL) at the Rockefeller University, led by Erich D. Jarvis, Giulio Formenti, and Jennifer Balacco.",NA,29.582251,-81.214912,FALSE,FALSE,"results/species/Anolis_sagrei/range_raster.tif","results/species/Anolis_sagrei/range_raster_goode.tif",-68.2858450733944,22.0923738127416,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"178","Anomaloglossus baeobatrachus","Anomaloglossus baeobatrachus",184641169,"LC",NA,"Stable","Guyana, Brazil, Suriname, French Guiana, Amapá, Amazonas, Pará",2023,TRUE,"Anomaloglossus baeobatrachus; Colostethus baeobatrachus","Colostethus baeobatrachus","Amphibians","Amphibians","Edward's Rocket Frog","GCA_048569485.1","SAMN46966667","French Guiana","4.0777 N 52.1588 W","CRBE: Antoine Fouquet","Mathieu Chouteau","The rocket frog (Anomaloglossus baeobatrachus) is a species of frog in the family Aromobatidae. It is found in northern Brazil south to Manaus, French Guiana, and Suriname and inhabits forest leaf-litter (from Wikipedia entry). This sample of an adult male individual from French Guiana was procured by Mathieu Chouteau and Antoine Fouquet to generate a high-quality reference genome for the Vertebrate Genomes Project (VGP). Sequencing and genome assembly were conducted at the Vertebrate Genome Lab (VGL) at the Rockefeller University, led by Erich D. Jarvis, Giulio Formenti, and Jennifer Balacco.",NA,4.0777,-52.1588,FALSE,FALSE,"results/species/Anomaloglossus_baeobatrachus/range_raster.tif","results/species/Anomaloglossus_baeobatrachus/range_raster_goode.tif",-55.924433717431,0.739825990108354,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"179","Anser anser","Anser anser",166194209,"LC",NA,"Increasing","Svalbard and Jan Mayen, Moldova, Iceland, Bulgaria, Azerbaijan, North Macedonia, Hungary, Georgia, Belgium, Germany, Slovakia, Czechia, Netherlands, Sweden, Belarus, Luxembourg, Ireland, Poland, France, Finland, Albania, Estonia, Italy, Gibraltar, Romania, Denmark, Serbia, Malta, Slovenia, Armenia, Greece, Canary Is., Ukraine, Austria, Switzerland, Türkiye, Portugal, Faroe Islands, Cyprus, Montenegro, Latvia, Lithuania, United Kingdom, Spain, European Russia, Bosnia and Herzegovina, Liechtenstein, Norway, Russian Federation, Croatia",2021,TRUE,"Anser anser; Anas anser; Anser ferus; Anser cinereus",NA,"Birds","Birds","domestic goose","GCA_964211835.1","SAMEA113398854","England|Gloucester|Newgounds","51.73 -2.4",NA,"MICHELLE O'BRIEN",NA,"The assembly bAnsAns1.hap1.1 is based on 56x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in Hi-C integrated assembly mode, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Chromosomes Z and W were identified by read coverage.",51.73,-2.4,FALSE,FALSE,"results/species/Anser_anser/range_raster.tif","results/species/Anser_anser/range_raster_goode.tif",79.8280940050295,41.7307956575184,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"180","Anser cygnoides","Anser cygnoid",228564177,"EN","A4bcd","Decreasing","Uzbekistan, Russian Federation, China, Kazakhstan, Turkmenistan, Japan, Korea, Republic of, Mongolia, Korea, Democratic People's Republic of",2023,TRUE,"Anser cygnoid","Anser cygnoides","Birds","Birds","swan goose","GCA_040182565.1","SAMN41386743","China: Taizhou",NA,NA,NA,NA,NA,28.6581723,121.4163876,FALSE,FALSE,"results/species/Anser_cygnoid/range_raster.tif","results/species/Anser_cygnoid/range_raster_goode.tif",115.189814064207,40.7315177977554,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"181","Antrozous pallidus","Antrozous pallidus",22129152,"LC",NA,"Stable","New Mexico, Texas, California, Utah, Oklahoma, British Columbia, Kansas, Idaho, Cuba, Oregon, Arizona, Nevada, Washington, Mexico, Canada, United States, Colorado, Wyoming, Montana",2017,TRUE,"Antrozous pallidus",NA,"Mammals","Mammals","pallid bat","GCA_027563665.1","SAMN30225125","USA:Elephant Mountain, Brewster County, Texas",NA,"David A. Ray","Bradley R.",NA,NA,30.0287814,-103.5318484,FALSE,FALSE,"results/species/Antrozous_pallidus/range_raster.tif","results/species/Antrozous_pallidus/range_raster_goode.tif",-108.699046746067,32.7337751538965,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"182","Aplidium turbinatum","Aplidium turbinatum",NA,"NE",NA,NA,NA,NA,NA,"Aplidium turbinatum; Sidnyum flemingii; Sidnyum turbinatum; Parascidia forbesi; Polyclinum succineum; Parascidia flemingii; Parascidium crispum; Circinalium concrescens; Parascidia flemingi; Polyclinum turbinatum; Parascidia forbesii",NA,"Invertebrates","Other Deurostomes","clonial sea squirt","GCA_918807975.1","SAMEA7536566","Devon | Plymouth | Queen Anne's Battery Marina visitors' pontoon","50.36446 -4.13208",NA,"JOHN BISHOP | JOANNA HARLEY | ROB MROWICKI | CHRIS WOOD",NA,"The assembly kaAplTurb1.1 is based on 65x PacBio data, 10X Genomics Chromium data, and Arima Hi-C data generated by the Darwin Tree of Life Project (https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA2. The mitochondrial genome was assembled using MitoHifi. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",50.36446,-4.13208,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,6,NA,"sampling"
"183","Aplochiton taeniatus","Aplochiton taeniatus",176549801,"LC",NA,"Decreasing","Argentina, Chile, Tierra del Fuego",2022,TRUE,"Aplochiton taeniatus",NA,"Fishes","Ray-finned fishes","peladilla","GCA_017639675.1","SAMN12623621","Chile: Santo Domingo River, Valdivia, Los Rios district","39.917592 S 73.107197 W","Universidad Austral de Chile","Cristian Correa Guzman","The Peladilla (Aplochiton taeniatus) is a galaxiid fresh water fish found in Argentina and Chile, South America. This sample was collected by Cristian Correa Guzman, supported by Gene Myers, in collaboration with Richard Durbin, and used to generate a high-quality reference genome as part of the G10K-VGP and Fish VGP projects.",NA,-39.917592,-73.107197,FALSE,FALSE,"results/species/Aplochiton_taeniatus/range_raster.tif","results/species/Aplochiton_taeniatus/range_raster_goode.tif",-70.9450671859167,-47.3324902009267,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"184","Apodemus sylvaticus","Apodemus sylvaticus",221788084,"LC",NA,"Stable","Slovenia, Lithuania, Spain, Sweden, Russian Federation, United Kingdom, Ukraine, Italy, Netherlands, Austria, Slovakia, Switzerland, Romania, Norway, Serbia, Andorra, Denmark, Hungary, Ireland, Bosnia and Herzegovina, Portugal, Belgium, Monaco, Poland, Montenegro, Greece, Bulgaria, Luxembourg, Iceland, Germany, France, Croatia, Albania, North Macedonia, Türkiye, Czechia, Moldova, Liechtenstein, Belarus, European Russia, Türkiye-in-Europe, Ukraine (main part)",2024,TRUE,"Apodemus sylvaticus; Apodemus hebridensis cumbrae; Apodemus hebridensis larus; Apodemus hirtensis; Apodemus sylvaticus creticus; Apodemus callipides; Apodemus creticus; Apodemus vulgaris; Apodemus hebridensis fiolagan; Apodemus sylvaticus spadix; Apodemus butei; Mus sylvaticus alpinus; Apodemus sylvaticus clanceyi; Mus sylvaticus bergensis; Apodemus bergensis; Apodemus flaviventris; Mus sylvaticus candidus; Apodemus hebridensis hamiltoni; Apodemus sylvaticus dichruoides; Apodemus sylvaticus milleri; Apodemus sylvaticus falzefeini; Apodemus islandicus; Apodemus sylvaticus ilvanus; Apodemus cumbrae; Apodemus sylvaticus hermani; Mus algirus; Apodemus hebridensis tural; Mus sylvaticus celticus; Mus sylvaticus isabellinus; Apodemus sylvaticus iconicus; Apodemus krkensis; Sylvaemus sylvaticus flaviventris; Mus sylvaticus griseus; Apodemus sylvaticus hessei; Apodemus hebridensis nesiticus; Apodemus hebridensis; Mus sylvaticus albus; Apodemus hebridensis ghia; Apodemus fridariensis thuleo; Mus islandicus; Apodemus hebridensis maclean; Mus sylvaticus fridariensis; Mus sylvaticus parvus; Apodemus sylvaticus kilikiae; Mus sylvaticus; Mus sylvaticus flavobrunneus; Apodemus alpinus; Apodemus larus; Apodemus fiolagan; Apodemus celticus; Mus sylvaticus varius; Mus sylvaticus leucocephalus; Musculus dichrurus; Apodemus ghia; Apodemus sylvaticus butei; Apodemus intermedius; Apodemus hebridensis tirae; Apodemus sylvaticus grandiculus; Apodemus tural; Mus reboudia; Mus hebridensis; Mus chamaeropsis; Mus hirtensis; Mus hayi; Apodemus fridariensis grantii; Mus sylvaticus niger; Mus pecchioli; Mus intermedius; Apodemus sylvaticus maximus; Apodemus tirae; Micromys sylvaticus callipides","Mus sylvaticus","Mammals","Mammals","European woodmouse","GCA_947179515.1","SAMEA7702024","Berkshire | Wytham woods","51.772 -1.338",NA,"Sarah Knowles",NA,"The assembly mApoSyl1.1 is based on 25x PacBio data, 10X Genomics Chromium data, and Arima2 Hi-C data generated by the Darwin Tree of Life Project (https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",51.772,-1.338,FALSE,FALSE,"results/species/Apodemus_sylvaticus/range_raster.tif","results/species/Apodemus_sylvaticus/range_raster_goode.tif",11.5915719582438,46.946616056159,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"185","Apteryx mantelli","Apteryx mantelli",119177586,"VU","A2bce","Stable","New Zealand",2017,TRUE,"Apteryx mantelli",NA,"Birds","Birds","North Island brown kiwi","GCA_036417845.1","SAMN39257886","USA: Smithsonian's National Zoo & Conservation Biology Institute, Front Royal, VA","38.887667 N 78.165167 W","Klaus-peter Koepfli: Smithsonian's National Zoo & Conservation Biology Institute","Smithsonian Veterinary Staff: Don Neiffer, Kelly Helmick, Kristina Delaski, Christie Hicks, Julia Jones, Lisa Ware","The North Island brown kiwi (Apteryx mantelli) is a species of kiwi that is widespread in the northern two-thirds of the North Island of New Zealand. It is the most common kiwi. It holds the world's record for laying the largest eggs relative to its body size (modified from Wikipedia entry). This sample of male was collected by the veterinary team at the Smithsonian's National Zoo & Conservation Biology Institute, and coordinated by Klaus-Peter Koepfli to be used to generate a high-quality reference genome for the Vertebrate Genomes Project (VGP). Sequencing and genome assembly were conducted at the Vertebrate Genomes Lab (VGL) at the Rockefeller University, led by Erich D. Jarvis, Giulio Formenti, and Jennifer Balacco.",NA,38.887667,-78.165167,FALSE,FALSE,"results/species/Apteryx_mantelli/range_raster.tif","results/species/Apteryx_mantelli/range_raster_goode.tif",175.491368231515,-37.7742954112632,TRUE,FALSE,TRUE,FALSE,6,NA,"sampling"
"186","Apus apus","Apus apus",166220766,"NT","A2bc+3bc+4bc","Decreasing","Belarus, North Macedonia, Cyprus, Romania, Iceland, Bosnia and Herzegovina, Finland, European Russia, Armenia, United Kingdom, France, Russian Federation, Ukraine, Germany, Italy, Slovakia, Greece, Bulgaria, Moldova, Belgium, Gibraltar, Norway, Poland, Azerbaijan, Netherlands, Croatia, Türkiye, Slovenia, Latvia, Spain, Serbia, Austria, Estonia, Luxembourg, Liechtenstein, Portugal, Faroe Islands, Sweden, Georgia, Czechia, Hungary, Andorra, Svalbard and Jan Mayen, Lithuania, Denmark, Switzerland, Albania, Ireland, Malta, Montenegro",2021,TRUE,"Apus apus; Cypselus apus; Hirundo apus; Cypselus murarius",NA,"Birds","Birds","common swift","GCA_020740795.1","SAMN22785356","Germany:Tutzing","47.969789 N 11.297823 E","Max Planck Institute for Ornithology","Maude W. Baldwin","The common swift is a member of the swift family (Apodidae). Swifts, which are the closest relatives to hummingbirds, are highly aerial, insectivorous birds that appear boomerang-shaped in flight. During the 10-month non-breeding season, common swifts fly constantly and presumably even sleep while flying; a study that equipped swifts with data loggers documented over 300 days of continual motion in some individuals. Blood and tissue samples were collected by researchers at the Max Planck Institute for Ornithology from an injured adult individual that had been tended to by a wildlife rehabilitator. It had been found after a stormy day in Munich in late May 2017, a few weeks after the return of most swifts to their European breeding grounds after wintering in Africa. Common swifts breed in many cities, and growing public awareness and conservation efforts help protect preferred nesting places, often under the eves of old buildings.",NA,47.969789,11.297823,FALSE,FALSE,"results/species/Apus_apus/range_raster.tif","results/species/Apus_apus/range_raster_goode.tif",43.1296748212269,24.3188671107896,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"187","Argentina silus","Argentina silus",44740389,"LC",NA,"Increasing","United Kingdom, Svalbard and Jan Mayen, Norway, Ireland, Iceland, Germany, France, Faroe Islands, Denmark, Great Britain, France (mainland), Northern Ireland, Spain (mainland), Spain",2015,TRUE,"Salmo silus; Argentina silus","Salmo silus","Fishes","Ray-finned fishes","greater argentine","GCA_951799395.1","SAMEA110137623","Faroe Islands","61.13 -9.35",NA,"HELGA BÁRA MOHR VANG",NA,"The assembly fArgSil1.1 is based on 84x PacBio data and Arima2 Hi-C data generated by the Wellcome Sanger Institute Tree of Life Programme (https://www.sanger.ac.uk/programme/tree-of-life/) as part of the European Reference Genome Atlas pilot project
(https://www.erga-biodiversity.eu/pilot-project). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. This alternate haplotype assembly combines the haplotigs separated by purge_dups with haplotigs separated from the primary assembly during curation. Sex chromosomes were annotated based on coverage statistics as well as synteny to GCF_016920845.1",61.13,-9.35,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,6,NA,"sampling"
"188","Arripis georgiana","Arripis georgiana",NA,"NE",NA,NA,NA,NA,NA,NA,NA,"Fishes","Ray-finned fishes","Australian herring","GCA_042242135.1","SAMN40589644","Australia: Western Australia, Middle Island",NA,NA,NA,NA,NA,-34.1017317,123.1878033,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,6,NA,"sampling"
"189","Artibeus intermedius","Artibeus lituratus",21995720,"LC",NA,"Stable","Venezuela, Bolivarian Republic of, Trinidad and Tobago, Mexico, Martinique, Colombia, Argentina, Saint Vincent and the Grenadines, Nicaragua, Brazil, Bolivia, Plurinational States of, Honduras, Costa Rica, Belize, Saint Lucia, Barbados, Ecuador, Guatemala, Peru, Grenada, Panama, El Salvador",2015,TRUE,"Artibeus intermedius; Artibeus lituratus","Artibeus intermedius","Mammals","Mammals","intermediate fruit-eating bat","GCA_038363145.1","SAMN40002248","Belize: Orange Walk District, Lamanai","17.76639 N 88.65225 W","Bat1K, St. Andrews University: Sonja Vernes","Nancy Simmons","The common fruit-eating bat (Artibeus intermedius) is a species of bat found in South America and Central America. This sample of a male individual found in Lamanai, Orange Walk District, Belize, was procured by Nancy Simmons and Sonja Vernes to generate a high-quality reference genome for the Bat Biology Foundation and the Bat1K project. Sequencing was conducted at Paratus Sciences and genome assembly was conducted at the Vertebrate Genome Lab (VGL) at the Rockefeller University, led by Erich D. Jarvis, Giulio Formenti, and Jennifer Balacco.",NA,17.76639,-88.65225,FALSE,FALSE,"results/species/Artibeus_lituratus/range_raster.tif","results/species/Artibeus_lituratus/range_raster_goode.tif",-61.7874718951883,-5.12260350342755,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"190","Ascaphus truei","Ascaphus truei",196332997,"LC",NA,"Unknown","United States, British Columbia, California, Oregon, Canada, Washington",2022,TRUE,"Ascaphus truei californicus; Ascaphus truei truei; Ascaphus truei",NA,"Amphibians","Amphibians","coastal tailed frog","GCA_040206685.1","SAMN41155128","USA: Polk County, Oregon","44.796144 N 123.527922 W","University of Washington: Adam Leache","Mark Leppin, R. Bruce Bury","The tailed frog (Ascaphus truei) is one of two species of frogs in the genus Ascaphus, the only taxon in the family Ascaphidae. The tail is one of two distinctive anatomical features adapting the species to life in fast-flowing streams. The two species are the only North American frog species that reproduce by internal fertilization (from Wikipedia entry). This sample of a male individual found at the Luckiamute River in Polk County, Oregon, USA, was coordinated by Gwendolynn W. Bury (Oregon State University) and R. Bruce Bury (U.S. Geological Survey) to generate a high-quality reference genome for the Vertebrate Genomes Project (VGP). The individual was collected by Mark Leppin (Oregon State University) under Oregon Scientific Permit #114-20, and the sample was dissected by Adam Leache (University of Washington). Sequencing and genome assembly were conducted at the Vertebrate Genome Lab (VGL) at the Rockefeller University, led by Erich D. Jarvis, Giulio Formenti, and Jennifer Balacco.","The following regions are of uncertain order and orientation: Haplotype 1 Chromosome 1 - approx. 267.5-307 Mbp; Haplotype 1 Chromosome 3 - approx. 132-186 Mbp; Haplotype 1 Chromosome 4 - approx. 144-184 Mbp.",44.796144,-123.527922,FALSE,FALSE,"results/species/Ascaphus_truei/range_raster.tif","results/species/Ascaphus_truei/range_raster_goode.tif",-123.687980038623,46.6464396348837,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"191","Ascidia mentula","Ascidia mentula",NA,"NE",NA,NA,NA,NA,NA,"Ascidia plana; Ascidia rubrotincta; Ascidia crassa; Ascidia alderi; Ascidia gelatinosum; Ascidia rudis; Ascidia robusta; Ascidia rubicunda; Ascidia mentula",NA,"Invertebrates","Other Deurostomes","pink sea squirt","GCA_947561715.1","SAMEA8724667","Devon | Torquay | Torquay Marina","50.459391 -3.527746",NA,"JOHN BISHOP | CHRIS WOOD",NA,"The assembly kaAscMent1.1 is based on 74x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. The following regions of this assembly are of undetermined order and orientation: Chromosome 7 region 13 - 14 Mbp.",50.459391,-3.527746,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,6,NA,"sampling"
"192","Ascidiella aspersa","Ascidiella aspersa",NA,"NE",NA,NA,NA,NA,NA,"Ascidiella aspersa; Phallusia aspersa; Ascidiella pellucida; Ascidiella cristata; Phallusia cristata; Ascidia expansa; Ascidia elliptica; Ascidia pedunculata; Ascidia normanni; Ascidia aspersa; Ascidia aculeata; Phallusia patula; Ascidia minuta; Ascidia patula; Ascidia opalina; Ascidia pustulosa; Ascidia cristata; Ascidia triangularis; Ascidia albida; Ascidia pellucida; Ascidia affinis; Ascidia sordida; Ascidia truncata",NA,"Invertebrates","Other Deurostomes","European sea squirt","GCA_963924565.1","SAMEA110449820","Devon | Plymouth | Queens Ann Battery","50.36446 -4.13208",NA,"JOHN BISHOP | CHRIS WOOD",NA,"The assembly kaAscAspe10.1 is based on 61x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using OATK. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. The order and orientation of contigs along chromosome 5 is uncertain between 8.4 Mb and 15 Mb.",50.36446,-4.13208,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,6,NA,"sampling"
"193","Aselliscus stoliczkanus","Aselliscus stoliczkanus",21976509,"LC",NA,"Decreasing","Viet Nam, China, Thailand, Lao People's Democratic Republic, Malaysia, Myanmar",2022,TRUE,"Aselliscus stoliczkanus; Asellia stoliczkana","Asellia stoliczkana, Aselliscus trifidus, Aselliscus wheeleri, Phyllorhina trifida, Triaenops wheeleri","Mammals","Mammals","Stoliczka's trident bat","GCA_043727835.1","SAMN33370315","China: Shuipu Village, Yuping Town","25.483056 N 107.881670 E","Lim, B.K., Eger, J.L.",NA,NA,NA,25.483056,107.88167,FALSE,FALSE,"results/species/Aselliscus_stoliczkanus/range_raster.tif","results/species/Aselliscus_stoliczkanus/range_raster_goode.tif",101.886893576228,21.0093174888067,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
"194","Aspidoscelis tigris stejnegeri","Aspidoscelis tigris",12754666,"LC",NA,"Stable","United States, Mexico",2007,TRUE,"Aspidoscelis tigris stejnegeri","Cnemidophorus maximus, Cnemidophorus marmoratus, Cnemidophorus tigris","Reptiles","Lepidosauria","Western whiptail stejnegeri","GCA_023333525.2","SAMN25872408","USA: Wild Colt Place, Jamul, San Diego County, California","32.7421123 N 116.854298 W","H. Bradley Shaffer, UCLA","Robert E. Espinoza","Tissues flash frozen and stored at -80C; voucher formalin preserved, transferred to 70% EtOH",NA,32.7421123,-116.854298,FALSE,FALSE,"results/species/Aspidoscelis_tigris/range_raster.tif","results/species/Aspidoscelis_tigris/range_raster_goode.tif",-111.657441994251,33.9046855383164,FALSE,FALSE,FALSE,FALSE,6,NA,"sampling"
