X.1,scientific_name,iucn_name,assessment_id,category,criteria,pop_trend,locations,year_published,latest,gbif_synonyms,iucn_synonyms,X,lineage,english_name,accession_number_for_main_haplotype,assemblyInfo_biosample_accession,assemblyInfo_biosample_geoLocName,assemblyInfo_biosample_latLon,assemblyInfo_comments,geo_location,latlon,lat,lon,vague_location_flag
79,Bos taurus,Bos taurus,NA,NE,NA,NA,NA,NA,NA,Bos taurus; Bos domestic,NA,80,Mammals,Brahman cow,GCA_003369695.2,SAMN08473802,NA,NA,This assembly represents the Bos taurus indicus (maternal) haplotype and includes the autosomes plus the X chromosome and mitochondria. The paternal haplotype sequences are in WGS project PUFT00000000.,NA,NA,NA,NA,FALSE
81,Branchiostoma belcheri,Branchiostoma belcheri,NA,NE,NA,NA,NA,NA,NA,Branchiostoma lanceolatum belcheri; Branchiostoma minucauda; Amphioxus belcheri; Branchiostoma belcheri,NA,570,Invertebrates,belcher's lancelet,GCA_019207075.1,SAMN13907882,NA,NA,"This is a lab-generated F1 cross between Branchiostoma floridae x Branchiostoma belcheri for which parental haplotypes were determined. The principal haplotype in JAFMNY000000000 represents the Branchiostoma belcheri genome which contains 20 chromosomes while the alternative haplotype in JAFMNZ000000000 represents the Branchiostoma floridae genome which only contains 19 chromosomes due to a chromosome pair fusion. Note the chromosomes were named according to chromosome size, not homology.",NA,NA,NA,NA,FALSE
82,Branchiostoma floridae,Branchiostoma floridae,NA,NE,NA,NA,NA,NA,NA,Branchiostoma floridae,NA,571,Invertebrates,Florida amphioxus,GCA_015852565.1,SAMN13896449,NA,NA,NA,NA,NA,NA,NA,FALSE
83,Branchiostoma lanceolatum,Branchiostoma lanceolatum,NA,NE,NA,NA,NA,NA,NA,Brachiostoma lanceolatum; Amphioxus lanceolatus; Limax lanceolatus; Branchiostoma lubricum; Branchistoma lanceolatum; Branchiostoma haecklii; Branchiostoma lanceolatum,NA,569,Invertebrates,European lancelet,GCA_035083965.1,SAMN38372375,Italy,44.4137 N 8.9289 E,NA,Italy,44.4137 N 8.9289 E,44.4137,8.9289,FALSE
100,Capra hircus,Capra hircus,215862148,NA,NA,Stable,"Greece, Spain, Kriti, Baleares",2025,TRUE,Capra hircus; Capra domestic,NA,81,Mammals,goat,GCA_041735815.1,SAMN41386043,China: Inner Mongolia,NA,NA,China: Inner Mongolia,NA,43.2443242,114.3251664,FALSE
109,Centroberyx gerrardi,Centroberyx gerrardi,NA,NE,NA,NA,NA,NA,NA,Beryx gerrardi; Austroberyx gerrardi; Trachichthodes gerrardi; Centroberyx gerrardi,NA,455,Fishes,bight redfish,GCA_048128805.1,SAMN41769328,"Australia: Western Australia, Middle Island",NA,NA,"Australia: Western Australia, Middle Island",NA,-25.2303005,121.0187246,FALSE
120,Choerodon schoenleinii,Choerodon schoenleinii,10933431,NT,NA,Unknown,"Solomon Islands, Sarawak, Taiwan, Province of China, New Caledonia, China, Papua New Guinea, Maluku, Western Australia, Indonesia, Lesser Sunda Is., Peninsular Malaysia, Sumatera, Northern Territory, Timor-Leste, Thailand, Viet Nam, Nansei-shoto, Hong Kong, Vanuatu, Sabah, Japan, Brunei Darussalam, Cambodia, Kalimantan, Sulawesi, Mauritius, Malaysia, Singapore, Australia, Papua, Philippines, Queensland, Jawa",2004,TRUE,Choerops ommopterus; Choerodon cyanostolus; Chaerodon schoenleini; Choerodon schoenleini; Choerodon schoenleinii; Choerops notatus; Choerodon quadrifasciatus; Torresia australis; ? schoenleini; Chaerops notatus; Choerodon rubidus; Choerops nyctemblema; Cossyphus cyanostolus; Cossyphus ommopterus; Choerodon shoenleinii; Torresia lineata; Choerops unimaculatus; Cossyphus schoenleinii,NA,513,Fishes,blackspot tuskfish,GCA_047301625.1,SAMN46014618,China: Hainan,NA,NA,China: Hainan,NA,19.2000001,109.5999999,FALSE
127,Clavelina lepadiformis,Clavelina lepadiformis,NA,NE,NA,NA,NA,NA,NA,Clavelina savigniana; Clavelina pumillo; Clavelina rissoana; Ascidia lepadiformis; Ascidia lepadiformes; Clavelina lepadiformes; Clavelina lepadiformis,NA,574,Invertebrates,light-bulb sea squirt,GCA_947623445.1,SAMEA7536527,United Kingdom,NA,"The assembly kaClaLepa1.1 is based on 117x PacBio data, 10X Genomics Chromium data, and Arima2 Hi-C data generated by the Darwin Tree of Life Project (https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Karyotype info used from https://www.tandfonline.com/doi/abs/10.1080/00087114.1971.10796413.",United Kingdom,NA,54.7023545,-3.2765753,TRUE
134,Corella eumyota,Corella eumyota,NA,NE,NA,NA,NA,NA,NA,Corella eumyota; Corella dohrni; Corella novarae; Corella benedeni,NA,573,Invertebrates,Orange-tipped sea squirt,GCA_963082875.1,SAMEA7536466,United Kingdom,NA,"The assembly kaCorEumy4.1 is based on 156x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. The order and orientation of contigs along SUPER_3 is uncertain between 10 Mb and 16.5 Mb.",United Kingdom,NA,54.7023545,-3.2765753,TRUE
144,Cyclopterus lumpus,Cyclopterus lumpus,45078284,NT,NA,Unknown,"United Kingdom, Sweden, Spain, Portugal, Poland, Norway, Netherlands, Lithuania, Belgium, Denmark, Estonia, European Russia, Faroe Islands, Finland, France, Germany, Guernsey, Iceland, Ireland, Jersey, Latvia, Great Britain, Svalbard and Jan Mayen, Spain (mainland), Russian Federation, Northern Ireland, France (mainland), Portugal (mainland)",2015,TRUE,Cyclopterus pyramidatus; Lumpus vulgaris; Lumpus anglorum; Cyclopterus pavoninus; Cyclopterus minutus; Cyclopterus coronatus; Cyclopterus lumpus hudsonius; Cyclopterus caeruleus; Cyclopterus lumpus,NA,539,Fishes,lumpfish,GCA_009769545.1,SAMN12629502,Canada: Atlantic Ocean,44.63694 N 63.59167 W,This assembly represents the principal haplotype of the diploid genome Cyclopterus lumpus and includes the chromosomes. The alternate haplotype sequences are in WGS project WNND00000000,Canada: Atlantic Ocean,44.63694 N 63.59167 W,44.63694,-63.59167,FALSE
151,Danio rerio,Danio rerio,6219667,LC,NA,Decreasing,"Uttar Pradesh, Nepal, Arunachal Pradesh, Orissa, Assam, Bangladesh, Meghalaya, India, Karnataka, West Bengal",2010,TRUE,Danio lineatus; Brachydanio frankei; Cyprinus rerio; Perilampus striatus; Cyprinus chapalio; Danio rerio; Nuria rerio; Barilius rerio; Brachydanio rerio; Danio frankei,NA,405,Fishes,zebrafish,GCA_944039275.1,SAMEA14088276,United Kingdom,NA,"The assembly fDanRer4.1 is based on 31x PacBio data and 10X Genomics Chromium data generated by the Wellcome Sanger Institute Tree of Life Programme (https://www.sanger.ac.uk/science/programmes/tree-of-life). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA2. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds are named by synteny based on Danio rerio (zebrafish) GCA_020184715.1. Uncertain order and orientation of scaffolds in repetitive regions on chromosome 4 38.2-55.2, chromosome 8 36.6-40.0mb.",United Kingdom,NA,54.7023545,-3.2765753,TRUE
170,Echiichthys vipera,Echiichthys vipera,45884258,LC,NA,Unknown,"United Kingdom, Türkiye, Tunisia, Syrian Arab Republic, Spain, Slovenia, Portugal, Norway, Guernsey, Greece, Gibraltar, Germany, France, Egypt, Denmark, Cyprus, Croatia, Canary Is., Belgium, Algeria, Albania, Ireland, Israel, Italy, Jersey, Lebanon, Libya, Madeira, Malta, Monaco, Montenegro, Morocco, Netherlands, Sicilia, Sardegna, Italy (mainland), Corsica, France (mainland), East Aegean Is., Greece (mainland), Kriti, Portugal (mainland), Baleares, Spain (mainland), Spanish North African Territories, Great Britain, Northern Ireland, Egypt (African part), Sinai",2015,TRUE,Echiichthys vipera; Trachinus horridus; Trachinus vipera; Echeiichthys vipera,"Trachinus horridus, Trachinus vipera",538,Fishes,lesser weever,GCA_963691815.1,SAMEA112765695,United Kingdom,NA,"The assembly fEchVip8.1 is based on 34x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Two half coverage putative sex chromosomes chromosomes were observed and provisionally named X and Y. However, the sample used for genome assembly was of unknown sex and so the sex determination system could be ZW instead of XY. A literature search did not recover information on the sex determination system for this species. It should also be noted that a previous cytological study (https://doi.org/10.1159/000076302) did not identify heteromorphic sex chromosomes in this species.",United Kingdom,NA,54.7023545,-3.2765753,TRUE
176,Emys orbicularis,Emys orbicularis,207667247,NT,A2bcde,Decreasing,"Belgium, Albania, Poland, Serbia, Austria, North Macedonia, Bosnia and Herzegovina, Bulgaria, Hungary, Latvia, Croatia, Czechia, Slovenia, Ukraine, Russian Federation, Montenegro, Denmark, Romania, France, Greece, Italy, Slovakia, Switzerland, Spain, Moldova, Germany, Türkiye, Portugal, Lithuania, Netherlands, Gibraltar, France (mainland), Greece (mainland), Italy (mainland), Spain (mainland), European Russia, Türkiye-in-Europe, Corsica, Sardegna, United Kingdom, Portugal (mainland), Great Britain, Kaliningrad, South European Russia, Central European Russia, Kosovo, Krym, Ukraine (main part), Serbia, Baleares, Belarus, East Aegean Is.",2024,TRUE,Emys tigris; Cistudo hellenica; Emys orbicularis lanzai; Emys hofmanni; Emys orbicularis hoffmani; Cistuda hellenica; Emys europaea concolor; Emys europaea maculosa; Testudo terrestris; Emys lutaria borealis; Emys turfa; Emys antiquorum; Emys orbicularis luteofusca; Emys europaea sparsa; Testudo rotunda; Cistudo anhaltina; Testudo europaea; Emys orbicularis kurae; Emys orbicularis colchica; Testudo pulchella; Emys orbicularis iberica; Emys orbicularis aralensis; Emys lutaria taurica; Emys orbicularis orientalis; Testudo lutraria; Emys orbicularis atra; Emys europaea punctata; Emys iberica; Emys orbicularis capolongoi; Emys orbicularis hispanica; Emys europaea; Testudo lutaria; Testudo punctata; Emys orbicularis fritzjuergenobsti; Testudo orbicularis; Emys orbicularis,"Emys orbicularis, Testudo europaea, Testudo orbicularis",315,Reptiles,European pond turtle,GCA_028017835.1,SAMN31805221,Italy: Reserve Naturale Monte Rufeno,42.78473 N 11.88612 E,NA,Italy: Reserve Naturale Monte Rufeno,42.78473 N 11.88612 E,42.78473,11.88612,FALSE
196,Eutrigla gurnardus,Eutrigla gurnardus,45901587,LC,NA,Unknown,"United Kingdom, Ukraine, Türkiye, Tunisia, Syrian Arab Republic, Sweden, Spain, Slovenia, Romania, Portugal, Norway, Netherlands, Morocco, Montenegro, Monaco, Georgia, France, Faroe Islands, European Russia, Egypt, Denmark, Cyprus, Croatia, Bulgaria, Belgium, Algeria, Albania, Germany, Gibraltar, Greece, Guernsey, Iceland, Ireland, Italy, Jersey, Lebanon, Libya, Madeira, Malta, Egypt (African part), Russian Federation, Krym, Ukraine (main part), Northern Ireland, Great Britain, Spanish North African Territories, Spain (mainland), Baleares, Portugal (mainland), East Aegean Is., France (mainland), Corsica, Sicilia, Sardegna, Italy (mainland), Kriti, Greece (mainland)",2015,TRUE,Eutrigla gurnardus gurnardus; Trigla milvus; Trigla gurnardus; Eutrigla gunardus; Eutrigla gurnardus milvus; Eutroigla gurnardus; Chelidonichthys gurnardus; Eutriglia gurnardus; Eutrigla gurnardus,"Trigla gurnardus, Eutrigla gurnardus milvus, Trigla milvus, Eutriglia gurnardus, Eutrigla gurnardus gurnardus, Chelidonichthys gurnardus",520,Fishes,grey gurnard,GCA_963514095.1,SAMEA111562159,United Kingdom,NA,"The assembly fEutGur1.1 is based on 34x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",United Kingdom,NA,54.7023545,-3.2765753,TRUE
204,Fundulus diaphanus,Fundulus diaphanus,18233141,LC,NA,Stable,"United States, Canada",2013,TRUE,Fundulus extensus; Hydrargira multifaciata; Hydrargira diaphana; Fundulus diaphanus menona; Fundulus menona; Fundulus diaphanus diaphanus; Fundulus diaphanus; Fundulus multifaciatus; Fundulus heteroclitus diaphanus,Hydrargira diaphana,491,Fishes,banded killifish,GCA_037039145.1,SAMN39736529,"Canada: St. John's, Newfoundland and Labrador",47.573871 N 52.728135 W,NA,"Canada: St. John's, Newfoundland and Labrador",47.573871 N 52.728135 W,47.573871,-52.728135,FALSE
206,Gadus morhua,Gadus morhua,45097319,LC,NA,Increasing,"United Kingdom, Sweden, Svalbard and Jan Mayen, Poland, Norway, Netherlands, Lithuania, Latvia, Belgium, Denmark, Estonia, European Russia, Faroe Islands, Finland, France, Germany, Guernsey, Iceland, Ireland, Jersey, Russian Federation, Northern Ireland, Great Britain, France (mainland)",2015,TRUE,Gadus morhua; Gadus callarias; Gadus ruber; Gadus heteroglossus; Gadus callarias kildinensis; Gadus nanus; Gadus morrhua; Gadus morhua kildinensis; Gadus vertagus; Morrhua americana; Morhua punctatus; Gadus morhua morhua; Gadus rupestris; Gadus arenosus; Morrhua vulgaris; Morhua vulgaris; Gadus callarias hiemalis; Asellus major; Gadus morhua callarias; Gadus callarius,NA,449,Fishes,Atlantic cod,GCA_902167405.1,SAMEA5574046,NA,NA,"The assembly gadMor3.0 of individual fGadMor1 (SAMEA5574046) is based on 83x PacBio data generated at the Wellcome Sanger Institute and the Jakobsen lab at the University of Olso in Norway, 59x 10X Genomics Chromium data and BioNano data generated at the Wellcome Sanger Institute, as well as 76x Arima Hi-C data generated at the Jakobsen lab. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig identification with purge_dups, 10X based scaffolding with scaff10x, BioNano hybrid-scaffolding, Hi-C based scaffolding with SALSA2, Arrow polishing, and two rounds of FreeBayes polishing. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds were named based on a genetic map provided by the Jakobsen lab.",NA,NA,NA,NA,FALSE
246,Homo sapiens,Homo sapiens,NA,NE,NA,NA,NA,NA,NA,Homo sapiens grimaldiensis; Homo palestinus; Homo aethiopicus; Homo priscus; Homo monstrosus; Homo scythicus; Homo sapiens cromagnonensis; Homo australasicus; Homo indicus; Homo melaninus; Homo capensis; Homo japeticus; Homo americanus; Homo wadjakensis; Homo neptunianus; Homo spec; Homo sinicus; Homo hyperboreus; Homo fossilis protoaethiopicus; Homo troglodytes; Homo grimaldii; Homo cafer; Homo columbicus; Homo drennani; Homo cro magnonensis; Homo sapiens cro magnonensis; Homo spelaeus; Homo arabicus; Homo fossilis proto aethiopicus; Homo hottentotus; Homo patagonus; Homo sapiens,NA,10,Mammals,human,GCA_009914755.4,SAMN03255769,NA,NA,NA,NA,NA,NA,NA,FALSE
253,Hyperoplus immaculatus,Hyperoplus immaculatus,44739085,DD,NA,Unknown,"United Kingdom, Netherlands, Jersey, Ireland, Guernsey, Germany, France, Belgium, Northern Ireland, Great Britain",2015,TRUE,Hyperoplus immaculatus; Ammodytes immaculatus,Ammodytes immaculatus,499,Fishes,greater sand eel,GCA_949357725.1,SAMEA13854416,United Kingdom,NA,"The assembly fHypImm3.1 is based on 31x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",United Kingdom,NA,54.7023545,-3.2765753,TRUE
264,Lampris incognitus,Lampris incognitus,NA,NE,NA,NA,NA,NA,NA,Lampris incognitus,NA,446,Fishes,smalleye Pacific opah,GCA_029633865.1,SAMN34060140,"USA: Pacific, San Diego Coast",32.650833 N 117.533611 W,NA,"USA: Pacific, San Diego Coast",32.650833 N 117.533611 W,32.650833,-117.533611,FALSE
270,Latimeria chalumnae,Latimeria chalumnae,3274618,CR,A2bcd,Unknown,"Indonesia, Comoros, South Africa",2000,TRUE,Malania anjouanae; Latemaria chalumnae; Latimeria chalumnae,NA,564,Fishes,African coelacanth,GCA_037176945.1,SAMN39710040,"Comoros: Grande Comore Island, Africa",11.583333 S 43.333333 E,"Hi-C data was from different individual, fLatCha2, used to generate the Pacbio HiFi long read data, fLatCha1. Thus we used Hi-C for scaffolding the primary haplotype, but could not use it for phasing each haplotype equally","Comoros: Grande Comore Island, Africa",11.583333 S 43.333333 E,-11.583333,43.333333,FALSE
290,Lycodopsis pacificus,Lycodopsis pacificus,NA,NE,NA,NA,NA,NA,NA,Leurynnis paucidens; Lycodopsis pacificus; Lycodopsis pacifica; Lycodes pacificus,NA,517,Fishes,blackbelly eelpout,GCA_028022725.1,SAMN32629383,"USA: Monterey Bay, California",36.80463781 N 121.88689674 W,NA,"USA: Monterey Bay, California",36.80463781 N 121.88689674 W,36.80463781,-121.88689674,FALSE
306,Melanostigma gelatinosum,Melanostigma gelatinosum,NA,NE,NA,NA,NA,NA,NA,Melanostigma flaccidum; Melanostigma gelatinosum,NA,518,Fishes,limp eelpout,GCA_949748355.1,SAMEA12815492,Southern Ocean,NA,"The assembly fMelGel1.1 is based on 39x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",Southern Ocean,NA,-59.9999999,89.9999999,TRUE
