...1,X.1,scientific_name,iucn_name,assessment_id,category,criteria,pop_trend,locations,year_published,latest,gbif_synonyms,iucn_synonyms,X,lineage,extended_lineage,english_name,accession_number_for_main_haplotype,biosample_accession,geo_location,latlon,comments,lat,lon,vague_location_flag,missing_sampling_location_flag,raster_path_ea,raster_path_goode,centroid_lon,centroid_lat,outside_range_flag,missing_range_flag,zoo_flag,domesticated_flag
49,49,Arvicanthis niloticus,Arvicanthis niloticus,115060432,LC,NA,Unknown,"Uganda, Nigeria, Niger, Egypt, Ghana, Benin, Yemen, Saudi Arabia, Senegal, Burkina Faso, Côte d'Ivoire, Burundi, Tanzania, United Republic of, Mauritania, Zambia, Eritrea, Congo, The Democratic Republic of the, Sudan, Oman, Kenya, Malawi, Gambia, Rwanda, Chad, Ethiopia, Central African Republic, Togo",2016,TRUE,Arvicanthis abyssinicus centrosus; Arvicanthis niloticus naso; Arvicanthis jebelae; Arvicanthis niloticus; Isomys testicularis; Mus discolor; Hypudaeus variegatus; Arvicanthis testicularis solatus; Arvicanthis abyssinicus rubescens; Isomys variegatus major; Isomys variegatus minor,NA,35,Mammals,Mammals,Nile rat,GCA_011762505.3,SAMN12611849,USA: Santa Barbara,34.41938 N 119.69905 W,"This is the trio assembly merged haplotype data. The maternal and paternal haplotype sequences are in WGS projects JAAOME000000000 and JAAOMF000000000 respectively.

Chromosome assignments were updated on this assembly on January 2025.",34.41938,-119.69905,FALSE,FALSE,results/species/Arvicanthis_niloticus/range_raster.tif,results/species/Arvicanthis_niloticus/range_raster_goode.tif,21.6151152495276,8.79690089006537,TRUE,FALSE,FALSE,FALSE
52,52,Ascidia mentula,Ascidia mentula,NA,NE,NA,NA,NA,NA,NA,Ascidia plana; Ascidia rubrotincta; Ascidia crassa; Ascidia alderi; Ascidia gelatinosum; Ascidia rudis; Ascidia robusta; Ascidia rubicunda; Ascidia mentula,NA,577,Invertebrates,Other Deurostomes,pink sea squirt,GCA_947561715.1,SAMEA8724667,Devon | Torquay | Torquay Marina,50.459391 -3.527746,"The assembly kaAscMent1.1 is based on 74x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. The following regions of this assembly are of undetermined order and orientation: Chromosome 7 region 13 - 14 Mbp.",50.459391,-3.527746,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
53,53,Ascidiella aspersa,Ascidiella aspersa,NA,NE,NA,NA,NA,NA,NA,Ascidiella aspersa; Phallusia aspersa; Ascidiella pellucida; Ascidiella cristata; Phallusia cristata; Ascidia expansa; Ascidia elliptica; Ascidia pedunculata; Ascidia normanni; Ascidia aspersa; Ascidia aculeata; Phallusia patula; Ascidia minuta; Ascidia patula; Ascidia opalina; Ascidia pustulosa; Ascidia cristata; Ascidia triangularis; Ascidia albida; Ascidia pellucida; Ascidia affinis; Ascidia sordida; Ascidia truncata,NA,576,Invertebrates,Other Deurostomes,European sea squirt,GCA_963924565.1,SAMEA110449820,Devon | Plymouth | Queens Ann Battery,50.36446 -4.13208,"The assembly kaAscAspe10.1 is based on 61x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using OATK. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. The order and orientation of contigs along chromosome 5 is uncertain between 8.4 Mb and 15 Mb.",50.36446,-4.13208,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
56,56,Astatotilapia calliptera,Astatotilapia calliptera,99449839,LC,NA,Stable,"Zimbabwe, Tanzania, United Republic of, Mozambique, Malawi",2018,TRUE,Haplochromis callipterus; Tilapia calliptera; Ctenochromis callipterus; Chromis callipterus; Haplochromis centropristoides; Neochromis simotes nyassae; Astatotilapia calliptera,Chromis callipterus,484,Fishes,Ray-finned fishes,Eastern happy,GCA_964374335.1,SAMEA112818850,CAMBRIDGE UNIVERSITY | AQUARIA FACILITY,52.204 0.12,"The assembly fAstCal68 is based on 65x ONT simplex data generated at the University of Cambridge and Arima2 Hi-C data generated by the Wellcome Sanger Institute Tree of Life Programme
(https://www.sanger.ac.uk/programme/tree-of-life/). The assembly process included the following sequence of steps: initial ONT error correction with herro, then assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named according to standard Malawi cichlid nomenclature.",52.204,0.12,FALSE,FALSE,results/species/Astatotilapia_calliptera/range_raster.tif,results/species/Astatotilapia_calliptera/range_raster_goode.tif,36.4233563366851,-15.1033762719724,TRUE,FALSE,FALSE,FALSE
57,57,Asterias rubens,Asterias rubens,NA,NE,NA,NA,NA,NA,NA,Hemicnemis ciliaris; Luidia fragilissima; Asterias rubens; Asterias imperati; Asterias pectinata; Asterias ciliaris; Luidia ciliaris,NA,580,Invertebrates,Other Deurostomes,common starfish,GCA_902459465.3,SAMEA994741,NA,NA,"The assembly eAstRub1.3 is based on 103x PacBio data, 150x Illumina data, and 126x Dovetail Hi-C data generated at the Wellcome Sanger Institute. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig identification with Purge Haplotigs, Hi-C based scaffolding with SALSA2, Arrow polishing, and two rounds of FreeBayes polishing. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
60,60,Aulonocara stuartgranti,Aulonocara stuartgranti,120689903,LC,NA,Stable,"Tanzania, United Republic of, Mozambique, Malawi",2018,TRUE,Aulonocara stuartgranti,"Aulonocara steveni, Aulonocara hansbaenschi",487,Fishes,Ray-finned fishes,flavescent peacock cichlid,GCA_965226115.1,SAMEA112818851,CAMBRIDGE UNIVERSITY | AQUARIA FACILITY,52.204 0.12,"The assembly fAulStu2.1 is based on 18x ONT duplex data generated at the University of Cambridge and Arima2 Hi-C data generated at the University of Bern. The assembly process included the following sequence of steps: ONT duplex reads assembled with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named according to standard Malawi cichlid nomenclature.",52.204,0.12,FALSE,FALSE,results/species/Aulonocara_stuartgranti/range_raster.tif,results/species/Aulonocara_stuartgranti/range_raster_goode.tif,34.6105730339443,-11.7993942632153,TRUE,FALSE,FALSE,FALSE
69,69,Balaenoptera ricei,Balaenoptera ricei,208496244,CR,D,Decreasing,United States,2022,TRUE,Balaenoptera ricei,NA,65,Mammals,Mammals,Rice's whale,GCA_028023285.1,SAMN32629060,"USA: Gulf of Mexico, Sandestin, Florida",30.37 N 86.35 W,the mBalRic1.alt.cur.20221125.fasta file contains one false haplotype duplication contig removed from Haplotype 2 assembly,30.37,-86.35,FALSE,FALSE,results/species/Balaenoptera_ricei/range_raster.tif,results/species/Balaenoptera_ricei/range_raster_goode.tif,-86.0644906297914,28.670991837542,TRUE,FALSE,FALSE,FALSE
70,70,Balanoglossus misakiensis,Balanoglossus misakiensis,NA,NE,NA,NA,NA,NA,NA,Balanoglossus misakiensis,NA,581,Invertebrates,Other Deurostomes,acorn worm,GCA_040954625.2,SAMN40579982,China: Qingdao,NA,NA,36.0663249,120.3777659,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
71,71,Balearica regulorum gibbericeps,Balearica regulorum,240198049,EN,A2bcd+4bcd,Decreasing,"Lesotho, Eswatini, Angola, Botswana, Burundi, Congo, The Democratic Republic of the, Zambia, Kenya, Malawi, South Africa, Uganda, Tanzania, United Republic of, Mozambique, Namibia, Zimbabwe, Rwanda, South Sudan",2024,TRUE,Balearica regulorum gibbericeps,NA,254,Birds,Birds,grey crowned-crane,GCA_011004875.1,SAMN12615749,Denmark: Copenhagen Zoo,55.67278 N 12.52139 E,This assembly represents the principal haplotype of the diploid genome Balearica regulorum gibbericeps and includes the chromosomes. The alternate haplotype sequences are in WGS project JAAIYD000000000,55.67278,12.52139,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
75,75,Blennius ocellaris,Blennius ocellaris,44748301,LC,NA,Stable,"United Kingdom, Jersey, Italy, Israel, Guernsey, Greece, Gibraltar, France, Egypt, Cyprus, Croatia, Bulgaria, Algeria, Albania, Lebanon, Malta, Monaco, Montenegro, Morocco, Portugal, Romania, Slovenia, Spain, Syrian Arab Republic, Tunisia, Türkiye, Corsica, France (mainland), Italy (mainland), Sardegna, Sicilia, Spanish North African Territories, Spain (mainland), Baleares, Türkiye-in-Asia, Türkiye-in-Europe, East Aegean Is., Greece (mainland), Great Britain",2015,TRUE,Blennius occelaris; Blennius ocellaris,NA,502,Fishes,Ray-finned fishes,butterfly blenny,GCA_963422515.1,SAMEA112788961,Devon | Bigbury Bay | H1 (MV Sepia),50.259383 -3.952467,"The assembly fBleOce1.1 is based on 30x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",50.259383,-3.952467,FALSE,FALSE,results/species/Blennius_ocellaris/range_raster.tif,results/species/Blennius_ocellaris/range_raster_goode.tif,9.98629518868976,39.9238463437867,TRUE,FALSE,FALSE,FALSE
77,77,Bombina variegata,Bombina variegata,228179967,LC,NA,Decreasing,"Albania, Austria, Luxembourg, Romania, Belgium, Bosnia and Herzegovina, Slovakia, Bulgaria, United Kingdom, Montenegro, Serbia, Serbia, Croatia, Czechia, Ukraine, Türkiye, France, North Macedonia, Great Britain, Slovenia, Hungary, France (mainland), Türkiye-in-Europe, Italy, Germany, Liechtenstein, Poland, Ukraine (main part), Greece, Italy (mainland), Switzerland, Greece (mainland), Kosovo",2024,TRUE,Bombina variegata; Bombinator appeninicus; Bombina salsa csikii; Rana sonans; Bufo salsus; Bombinator pachypus nigriventris; Bombinator brevipes; Rana variegata; Bombina variegata gracilis; Bombinator scaber; Bombina variegata csikii; Bombina maculatus; Bombinator pachypus kolombatovici; Bombina variegata scabra; Bombinator variegata; Bombina variegata kolombatovici; Bombina igneus brevipes; Bombinator pachypus brevipes; Bombina salsa; Rana salsa,"Rana variegata, Bombinator pachypus, Bombina pachypus",361,Amphibians,Amphibians,yellow-bellied toad,GCA_964205295.1,SAMEA112651403,KRAKOW | INSTITUT OF ZOOLOGY AND BIOMEDICAL RESEARCH,50.027469 19.900221,"The assembly aBomVar4.paternal.1 is based on 26x PacBio data and Arima2 Hi-C data generated by the Wellcome Sanger Institute Tree of Life Programme (https://www.sanger.ac.uk/programme/tree-of-life/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm in 'trio' mode using k-mers from the Illumina-sequenced parents, and Hi-C based scaffolding of each haplotype separately with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, each haplotype assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",50.027469,19.900221,FALSE,FALSE,results/species/Bombina_variegata/range_raster.tif,results/species/Bombina_variegata/range_raster_goode.tif,15.7961181016707,45.3792188903688,TRUE,FALSE,FALSE,FALSE
78,78,Borostomias antarcticus,Borostomias antarcticus,45877572,LC,NA,Unknown,"France, France (mainland), Gibraltar, Iceland, Ireland, Portugal, Azores, Portugal (mainland), Spain, Baleares, Spain (mainland), United Kingdom, Northern Ireland",2015,TRUE,Borostomias macrophthalmoides; Borostomias macrophthalmus; Borostomias roulei; Diplolychnus bifilis; Borostomias macrophtalomoides; Astronesthes antarcticus; Borostomias antarcticus,"Borostomias roulei, Borostomias macrophthalmoides, Diplolychnus bifilis, Borostomias macrophthalmus, Astronesthes antarcticus",438,Fishes,Ray-finned fishes,large-eye snaggletooth,GCA_949987555.1,SAMEA8748812,Southern Ocean,-54.48961 -45.89979,"The assembly fBorAnt1.1 is based on 68x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",-54.48961,-45.89979,FALSE,FALSE,results/species/Borostomias_antarcticus/range_raster.tif,results/species/Borostomias_antarcticus/range_raster_goode.tif,27.7562693437304,-22.7779941515125,TRUE,FALSE,FALSE,FALSE
79,79,Bos taurus,Bos taurus,NA,NE,NA,NA,NA,NA,NA,Bos taurus; Bos domestic,NA,80,Mammals,Mammals,Brahman cow,GCA_003369695.2,SAMN08473802,NA,NA,This assembly represents the Bos taurus indicus (maternal) haplotype and includes the autosomes plus the X chromosome and mitochondria. The paternal haplotype sequences are in WGS project PUFT00000000.,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE
81,81,Branchiostoma belcheri,Branchiostoma belcheri,NA,NE,NA,NA,NA,NA,NA,Branchiostoma lanceolatum belcheri; Branchiostoma minucauda; Amphioxus belcheri; Branchiostoma belcheri,NA,570,Invertebrates,Other Deurostomes,belcher's lancelet,GCA_019207075.1,SAMN13907882,NA,NA,"This is a lab-generated F1 cross between Branchiostoma floridae x Branchiostoma belcheri for which parental haplotypes were determined. The principal haplotype in JAFMNY000000000 represents the Branchiostoma belcheri genome which contains 20 chromosomes while the alternative haplotype in JAFMNZ000000000 represents the Branchiostoma floridae genome which only contains 19 chromosomes due to a chromosome pair fusion. Note the chromosomes were named according to chromosome size, not homology.",NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
82,82,Branchiostoma floridae,Branchiostoma floridae,NA,NE,NA,NA,NA,NA,NA,Branchiostoma floridae,NA,571,Invertebrates,Other Deurostomes,Florida amphioxus,GCA_015852565.1,SAMN13896449,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
83,83,Branchiostoma lanceolatum,Branchiostoma lanceolatum,NA,NE,NA,NA,NA,NA,NA,Brachiostoma lanceolatum; Amphioxus lanceolatus; Limax lanceolatus; Branchiostoma lubricum; Branchistoma lanceolatum; Branchiostoma haecklii; Branchiostoma lanceolatum,NA,569,Invertebrates,Other Deurostomes,European lancelet,GCA_035083965.1,SAMN38372375,Italy,44.4137 N 8.9289 E,NA,44.4137,8.9289,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
89,89,Caesio teres,Caesio teres,65927008,LC,NA,Unknown,"Taiwan, Province of China, Korea, Republic of, Japan, Mozambique Channel Is., Tanzania, United Republic of, South Africa, Somalia, Seychelles, Réunion, Mozambique, Mayotte, Mauritius, Madagascar, Kenya, Tuvalu, Tonga, Tokelau, Solomon Islands, Samoa, Papua New Guinea, Palau, Northern Mariana Islands, New Caledonia, Nauru, Micronesia, Federated States of , Marshall Islands, American Samoa, Australia, Christmas Island, Cocos (Keeling) Islands, Cook Islands, Fiji, French Polynesia, Guam, Kiribati, Gilbert Is., Kiribati Line Is., Phoenix Is., United States Minor Outlying Islands, French Southern Territories, US Line Is., Vanuatu, Wallis and Futuna, British Indian Ocean Territory, Brunei Darussalam, Disputed Territory, Paracel Is., Spratly Is., India, Andaman Is., China, Nicobar Is., Indonesia, Malaysia, Maldives, Myanmar, Philippines, Singapore, Sri Lanka, Thailand, Timor-Leste, Comoros",2016,TRUE,Caesio teres; Caesio pulcherrimus; Caesio pulcherrima; Caesio terus,NA,527,Fishes,Ray-finned fishes,yellow and blueback fusilier,GCA_048129055.1,SAMN41769331,"Australia: Indian Ocean Territories, Christmas Island",NA,NA,105.60415,105.60415,TRUE,FALSE,results/species/Caesio_teres/range_raster.tif,results/species/Caesio_teres/range_raster_goode.tif,94.4504793809662,-2.00687972318508,FALSE,FALSE,FALSE,FALSE
90,90,Callithrix jacchus,Callithrix jacchus,191705043,LC,NA,Decreasing,"Ceará, Espírito Santo, Sergipe, Rio Grande do Norte, Maranhão, Paraíba, Pernambuco, Piauí, São Paulo, Alagoas, Bahia, Santa Catarina, Rio de Janeiro, Paraná, Brazil",2021,TRUE,Callithrix jacchus; Hapale leucotis; Simia jacchus; Hapale leucotes; Hapale communis; Jacchus albicollis; Jacchus vulgaris; Jacchus vulgaris rufus; Simia jacchus moschatus; Hapale jacchus,"Simia jacchus, Simia (Sagoinus) jacchus, Jacchus vulgaris, Jacchus albicollis, Hapale leucotes, Hapale communis",19,Mammals,Mammals,common marmoset,GCA_049354715.1,SAMN47004743,USA: Pittsburgh,NA,NA,40.4416941,-79.9900861,FALSE,FALSE,results/species/Callithrix_jacchus/range_raster.tif,results/species/Callithrix_jacchus/range_raster_goode.tif,-41.5633047947905,-7.07842754000255,TRUE,FALSE,FALSE,FALSE
